Ping size: 0
[1621783342.493685] 72 bytes from 88.80.187.84: icmp_seq=16 ttl=51 time=32.6 ms
[1621783343.495452] 72 bytes from 88.80.187.84: icmp_seq=17 ttl=51 time=32.5 ms
[1621783344.497673] 72 bytes from 88.80.187.84: icmp_seq=18 ttl=51 time=33.0 ms
[1621783345.498283] 72 bytes from 88.80.187.84: icmp_seq=19 ttl=51 time=32.3 ms
[1621783346.500388] 72 bytes from 88.80.187.84: icmp_seq=20 ttl=51 time=32.7 ms

--- 88.80.187.84 ping statistics ---
20 packets transmitted, 20 received, 0% packet loss, time 19025ms
rtt min/avg/max/mdev = 32.143/32.599/32.952/0.224 ms
Ping size: 96
PING 88.80.187.84 (88.80.187.84) 96(124) bytes of data.
[1621783346.537512] 104 bytes from 88.80.187.84: icmp_seq=1 ttl=51 time=32.0 ms
[1621783347.539699] 104 bytes from 88.80.187.84: icmp_seq=2 ttl=51 time=32.9 ms
[1621783348.540435] 104 bytes from 88.80.187.84: icmp_seq=3 ttl=51 time=32.4 ms
[1621783349.542212] 104 bytes from 88.80.187.84: icmp_seq=4 ttl=51 time=32.5 ms
[1621783350.544502] 104 bytes from 88.80.187.84: icmp_seq=5 ttl=51 time=33.0 ms
[1621783351.545150] 104 bytes from 88.80.187.84: icmp_seq=6 ttl=51 time=32.4 ms
[1621783352.547081] 104 bytes from 88.80.187.84: icmp_seq=7 ttl=51 time=32.6 ms
[1621783353.549066] 104 bytes from 88.80.187.84: icmp_seq=8 ttl=51 time=32.7 ms
[1621783354.551142] 104 bytes from 88.80.187.84: icmp_seq=9 ttl=51 time=32.8 ms
[1621783355.551080] 104 bytes from 88.80.187.84: icmp_seq=10 ttl=51 time=32.3 ms
[1621783356.552812] 104 bytes from 88.80.187.84: icmp_seq=11 ttl=51 time=33.0 ms
[1621783357.552772] 104 bytes from 88.80.187.84: icmp_seq=12 ttl=51 time=31.9 ms
[1621783358.554522] 104 bytes from 88.80.187.84: icmp_seq=13 ttl=51 time=33.3 ms
[1621783359.555492] 104 bytes from 88.80.187.84: icmp_seq=14 ttl=51 time=32.7 ms
[1621783360.557262] 104 bytes from 88.80.187.84: icmp_seq=15 ttl=51 time=32.5 ms
[1621783361.558437] 104 bytes from 88.80.187.84: icmp_seq=16 ttl=51 time=32.6 ms
[1621783362.559253] 104 bytes from 88.80.187.84: icmp_seq=17 ttl=51 time=32.5 ms
[1621783363.560078] 104 bytes from 88.80.187.84: icmp_seq=18 ttl=51 time=32.3 ms
[1621783364.561526] 104 bytes from 88.80.187.84: icmp_seq=19 ttl=51 time=32.7 ms
[1621783365.563060] 104 bytes from 88.80.187.84: icmp_seq=20 ttl=51 time=32.3 ms

--- 88.80.187.84 ping statistics ---
20 packets transmitted, 20 received, 0% packet loss, time 19025ms
rtt min/avg/max/mdev = 31.925/32.568/33.260/0.332 ms
Ping size: 128
PING 88.80.187.84 (88.80.187.84) 128(156) bytes of data.
[1621783365.601149] 136 bytes from 88.80.187.84: icmp_seq=1 ttl=51 time=33.0 ms
[1621783366.601443] 136 bytes from 88.80.187.84: icmp_seq=2 ttl=51 time=32.7 ms
[1621783367.602279] 136 bytes from 88.80.187.84: icmp_seq=3 ttl=51 time=32.5 ms
[1621783368.603539] 136 bytes from 88.80.187.84: icmp_seq=4 ttl=51 time=32.8 ms
[1621783369.604262] 136 bytes from 88.80.187.84: icmp_seq=5 ttl=51 time=32.5 ms
[1621783370.605542] 136 bytes from 88.80.187.84: icmp_seq=6 ttl=51 time=32.8 ms
[1621783371.606984] 136 bytes from 88.80.187.84: icmp_seq=7 ttl=51 time=33.2 ms
[1621783372.607515] 136 bytes from 88.80.187.84: icmp_seq=8 ttl=51 time=32.7 ms
[1621783373.609186] 136 bytes from 88.80.187.84: icmp_seq=9 ttl=51 time=33.4 ms
[1621783374.609660] 136 bytes from 88.80.187.84: icmp_seq=10 ttl=51 time=32.8 ms
[1621783375.610849] 136 bytes from 88.80.187.84: icmp_seq=11 ttl=51 time=33.0 ms
[1621783376.611397] 136 bytes from 88.80.187.84: icmp_seq=12 ttl=51 time=32.3 ms
[1621783377.613813] 136 bytes from 88.80.187.84: icmp_seq=13 ttl=51 time=33.2 ms
[1621783378.614644] 136 bytes from 88.80.187.84: icmp_seq=14 ttl=51 time=32.6 ms
[1621783379.616209] 136 bytes from 88.80.187.84: icmp_seq=15 ttl=51 time=32.3 ms
[1621783380.618587] 136 bytes from 88.80.187.84: icmp_seq=16 ttl=51 time=33.1 ms
[1621783381.619218] 136 bytes from 88.80.187.84: icmp_seq=17 ttl=51 time=32.3 ms
[1621783382.621653] 136 bytes from 88.80.187.84: icmp_seq=18 ttl=51 time=33.1 ms
[1621783383.622412] 136 bytes from 88.80.187.84: icmp_seq=19 ttl=51 time=32.4 ms
[1621783384.624661] 136 bytes from 88.80.187.84: icmp_seq=20 ttl=51 time=33.0 ms

--- 88.80.187.84 ping statistics ---
20 packets transmitted, 20 received, 0% packet loss, time 19024ms
rtt min/avg/max/mdev = 32.272/32.773/33.366/0.323 ms
Ping size: 160
PING 88.80.187.84 (88.80.187.84) 160(188) bytes of data.
[1621783384.662205] 168 bytes from 88.80.187.84: icmp_seq=1 ttl=51 time=32.4 ms
[1621783385.664263] 168 bytes from 88.80.187.84: icmp_seq=2 ttl=51 time=32.8 ms
[1621783386.665032] 168 bytes from 88.80.187.84: icmp_seq=3 ttl=51 time=32.4 ms
[1621783387.667218] 168 bytes from 88.80.187.84: icmp_seq=4 ttl=51 time=32.9 ms
[1621783388.668527] 168 bytes from 88.80.187.84: icmp_seq=5 ttl=51 time=33.1 ms
[1621783389.668646] 168 bytes from 88.80.187.84: icmp_seq=6 ttl=51 time=31.8 ms
[1621783390.670651] 168 bytes from 88.80.187.84: icmp_seq=7 ttl=51 time=32.7 ms
[1621783391.672262] 168 bytes from 88.80.187.84: icmp_seq=8 ttl=51 time=32.4 ms
[1621783392.672652] 168 bytes from 88.80.187.84: icmp_seq=9 ttl=51 time=31.9 ms
[1621783393.674557] 168 bytes from 88.80.187.84: icmp_seq=10 ttl=51 time=32.7 ms
[1621783394.676664] 168 bytes from 88.80.187.84: icmp_seq=11 ttl=51 time=32.8 ms
[1621783395.678038] 168 bytes from 88.80.187.84: icmp_seq=12 ttl=51 time=33.2 ms
[1621783396.678123] 168 bytes from 88.80.187.84: icmp_seq=13 ttl=51 time=32.4 ms
[1621783397.680022] 168 bytes from 88.80.187.84: icmp_seq=14 ttl=51 time=33.2 ms
[1621783398.681264] 168 bytes from 88.80.187.84: icmp_seq=15 ttl=51 time=33.5 ms
[1621783399.681440] 168 bytes from 88.80.187.84: icmp_seq=16 ttl=51 time=32.6 ms
[1621783400.682020] 168 bytes from 88.80.187.84: icmp_seq=17 ttl=51 time=32.3 ms
[1621783401.683313] 168 bytes from 88.80.187.84: icmp_seq=18 ttl=51 time=32.5 ms
[1621783402.684187] 168 bytes from 88.80.187.84: icmp_seq=19 ttl=51 time=32.4 ms
[1621783403.685460] 168 bytes from 88.80.187.84: icmp_seq=20 ttl=51 time=32.7 ms

--- 88.80.187.84 ping statistics ---
20 packets transmitted, 20 received, 0% packet loss, time 19023ms
rtt min/avg/max/mdev = 31.840/32.639/33.493/0.417 ms
Ping size: 192
PING 88.80.187.84 (88.80.187.84) 192(220) bytes of data.
[1621783403.723265] 200 bytes from 88.80.187.84: icmp_seq=1 ttl=51 time=32.7 ms
[1621783404.724634] 200 bytes from 88.80.187.84: icmp_seq=2 ttl=51 time=32.8 ms
[1621783405.725720] 200 bytes from 88.80.187.84: icmp_seq=3 ttl=51 time=32.9 ms
[1621783406.725533] 200 bytes from 88.80.187.84: icmp_seq=4 ttl=51 time=32.3 ms
[1621783407.727547] 200 bytes from 88.80.187.84: icmp_seq=5 ttl=51 time=32.7 ms
[1621783408.729362] 200 bytes from 88.80.187.84: icmp_seq=6 ttl=51 time=32.5 ms
