Ping size: 0
PING 88.80.187.84 (88.80.187.84) 0(28) bytes of data.
[1621804456.004672] 360 bytes from 88.80.187.84: icmp_seq=43 ttl=51 time=32.8 ms
[1621804457.007166] 360 bytes from 88.80.187.84: icmp_seq=44 ttl=51 time=33.3 ms
[1621804458.008697] 360 bytes from 88.80.187.84: icmp_seq=45 ttl=51 time=33.3 ms
[1621804459.009696] 360 bytes from 88.80.187.84: icmp_seq=46 ttl=51 time=32.8 ms
[1621804460.011971] 360 bytes from 88.80.187.84: icmp_seq=47 ttl=51 time=33.1 ms
[1621804461.012946] 360 bytes from 88.80.187.84: icmp_seq=48 ttl=51 time=32.8 ms
[1621804462.014894] 360 bytes from 88.80.187.84: icmp_seq=49 ttl=51 time=32.7 ms
[1621804463.016852] 360 bytes from 88.80.187.84: icmp_seq=50 ttl=51 time=32.8 ms
[1621804464.019376] 360 bytes from 88.80.187.84: icmp_seq=51 ttl=51 time=33.3 ms
[1621804465.021027] 360 bytes from 88.80.187.84: icmp_seq=52 ttl=51 time=33.5 ms
[1621804466.022334] 360 bytes from 88.80.187.84: icmp_seq=53 ttl=51 time=33.2 ms
[1621804467.023771] 360 bytes from 88.80.187.84: icmp_seq=54 ttl=51 time=33.3 ms
[1621804468.025315] 360 bytes from 88.80.187.84: icmp_seq=55 ttl=51 time=33.3 ms
[1621804469.026067] 360 bytes from 88.80.187.84: icmp_seq=56 ttl=51 time=32.6 ms
[1621804470.028696] 360 bytes from 88.80.187.84: icmp_seq=57 ttl=51 time=33.4 ms
[1621804471.030405] 360 bytes from 88.80.187.84: icmp_seq=58 ttl=51 time=33.5 ms
[1621804472.032596] 360 bytes from 88.80.187.84: icmp_seq=59 ttl=51 time=34.0 ms
[1621804473.033046] 360 bytes from 88.80.187.84: icmp_seq=60 ttl=51 time=33.3 ms
[1621804474.033534] 360 bytes from 88.80.187.84: icmp_seq=61 ttl=51 time=32.4 ms
[1621804475.035585] 360 bytes from 88.80.187.84: icmp_seq=62 ttl=51 time=32.9 ms
[1621804476.036904] 360 bytes from 88.80.187.84: icmp_seq=63 ttl=51 time=33.1 ms
[1621804477.038044] 360 bytes from 88.80.187.84: icmp_seq=64 ttl=51 time=32.9 ms
[1621804478.038779] 360 bytes from 88.80.187.84: icmp_seq=65 ttl=51 time=32.5 ms
[1621804479.040905] 360 bytes from 88.80.187.84: icmp_seq=66 ttl=51 time=32.9 ms
[1621804480.042077] 360 bytes from 88.80.187.84: icmp_seq=67 ttl=51 time=33.0 ms
[1621804481.043040] 360 bytes from 88.80.187.84: icmp_seq=68 ttl=51 time=32.8 ms
[1621804482.044558] 360 bytes from 88.80.187.84: icmp_seq=69 ttl=51 time=32.4 ms
[1621804483.046381] 360 bytes from 88.80.187.84: icmp_seq=70 ttl=51 time=32.6 ms
[1621804484.048056] 360 bytes from 88.80.187.84: icmp_seq=71 ttl=51 time=32.5 ms
[1621804485.050434] 360 bytes from 88.80.187.84: icmp_seq=72 ttl=51 time=33.2 ms
[1621804486.051062] 360 bytes from 88.80.187.84: icmp_seq=73 ttl=51 time=32.4 ms
[1621804487.053077] 360 bytes from 88.80.187.84: icmp_seq=74 ttl=51 time=32.8 ms
[1621804488.055401] 360 bytes from 88.80.187.84: icmp_seq=75 ttl=51 time=33.1 ms
[1621804489.057188] 360 bytes from 88.80.187.84: icmp_seq=76 ttl=51 time=33.6 ms
[1621804490.058080] 360 bytes from 88.80.187.84: icmp_seq=77 ttl=51 time=32.7 ms
[1621804491.060416] 360 bytes from 88.80.187.84: icmp_seq=78 ttl=51 time=33.1 ms
[1621804492.061652] 360 bytes from 88.80.187.84: icmp_seq=79 ttl=51 time=33.0 ms
[1621804493.063104] 360 bytes from 88.80.187.84: icmp_seq=80 ttl=51 time=33.3 ms
[1621804494.063380] 360 bytes from 88.80.187.84: icmp_seq=81 ttl=51 time=32.1 ms
[1621804495.065642] 360 bytes from 88.80.187.84: icmp_seq=82 ttl=51 time=33.0 ms
[1621804496.066613] 360 bytes from 88.80.187.84: icmp_seq=83 ttl=51 time=32.7 ms
[1621804497.068620] 360 bytes from 88.80.187.84: icmp_seq=84 ttl=51 time=32.8 ms
[1621804498.071185] 360 bytes from 88.80.187.84: icmp_seq=85 ttl=51 time=33.3 ms
[1621804499.072103] 360 bytes from 88.80.187.84: icmp_seq=86 ttl=51 time=32.7 ms
[1621804500.074143] 360 bytes from 88.80.187.84: icmp_seq=87 ttl=51 time=32.8 ms
[1621804501.074893] 360 bytes from 88.80.187.84: icmp_seq=88 ttl=51 time=32.5 ms
[1621804502.077320] 360 bytes from 88.80.187.84: icmp_seq=89 ttl=51 time=33.2 ms
[1621804503.078913] 360 bytes from 88.80.187.84: icmp_seq=90 ttl=51 time=33.4 ms
[1621804504.079661] 360 bytes from 88.80.187.84: icmp_seq=91 ttl=51 time=32.5 ms
[1621804505.081941] 360 bytes from 88.80.187.84: icmp_seq=92 ttl=51 time=33.1 ms
[1621804506.083668] 360 bytes from 88.80.187.84: icmp_seq=93 ttl=51 time=33.5 ms
[1621804507.085492] 360 bytes from 88.80.187.84: icmp_seq=94 ttl=51 time=33.6 ms
[1621804508.086424] 360 bytes from 88.80.187.84: icmp_seq=95 ttl=51 time=32.7 ms
[1621804509.088173] 360 bytes from 88.80.187.84: icmp_seq=96 ttl=51 time=32.5 ms
[1621804510.089954] 360 bytes from 88.80.187.84: icmp_seq=97 ttl=51 time=32.6 ms
[1621804511.092038] 360 bytes from 88.80.187.84: icmp_seq=98 ttl=51 time=32.9 ms
[1621804512.092946] 360 bytes from 88.80.187.84: icmp_seq=99 ttl=51 time=32.7 ms
[1621804513.095206] 360 bytes from 88.80.187.84: icmp_seq=100 ttl=51 time=33.0 ms

--- 88.80.187.84 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99159ms
rtt min/avg/max/mdev = 32.083/32.882/33.996/0.376 ms
Ping size: 384
PING 88.80.187.84 (88.80.187.84) 384(412) bytes of data.
[1621804513.132868] 392 bytes from 88.80.187.84: icmp_seq=1 ttl=51 time=33.0 ms
[1621804514.133697] 392 bytes from 88.80.187.84: icmp_seq=2 ttl=51 time=32.6 ms
[1621804515.135561] 392 bytes from 88.80.187.84: icmp_seq=3 ttl=51 time=32.6 ms
[1621804516.137979] 392 bytes from 88.80.187.84: icmp_seq=4 ttl=51 time=33.2 ms
[1621804517.138587] 392 bytes from 88.80.187.84: icmp_seq=5 ttl=51 time=32.4 ms
[1621804518.140228] 392 bytes from 88.80.187.84: icmp_seq=6 ttl=51 time=32.4 ms
[1621804519.142865] 392 bytes from 88.80.187.84: icmp_seq=7 ttl=51 time=33.4 ms
[1621804520.144249] 392 bytes from 88.80.187.84: icmp_seq=8 ttl=51 time=33.1 ms
[1621804521.144988] 392 bytes from 88.80.187.84: icmp_seq=9 ttl=51 time=32.5 ms
[1621804522.146742] 392 bytes from 88.80.187.84: icmp_seq=10 ttl=51 time=32.5 ms
[1621804523.148991] 392 bytes from 88.80.187.84: icmp_seq=11 ttl=51 time=33.0 ms
[1621804524.149553] 392 bytes from 88.80.187.84: icmp_seq=12 ttl=51 time=32.3 ms
[1621804525.152255] 392 bytes from 88.80.187.84: icmp_seq=13 ttl=51 time=33.5 ms
[1621804526.152905] 392 bytes from 88.80.187.84: icmp_seq=14 ttl=51 time=32.4 ms
[1621804527.154561] 392 bytes from 88.80.187.84: icmp_seq=15 ttl=51 time=32.4 ms
[1621804528.156755] 392 bytes from 88.80.187.84: icmp_seq=16 ttl=51 time=32.9 ms
[1621804529.157763] 392 bytes from 88.80.187.84: icmp_seq=17 ttl=51 time=32.8 ms
[1621804530.159773] 392 bytes from 88.80.187.84: icmp_seq=18 ttl=51 time=32.8 ms
[1621804531.162341] 392 bytes from 88.80.187.84: icmp_seq=19 ttl=51 time=33.3 ms
[1621804532.163230] 392 bytes from 88.80.187.84: icmp_seq=20 ttl=51 time=32.7 ms
[1621804533.165034] 392 bytes from 88.80.187.84: icmp_seq=21 ttl=51 time=32.6 ms
[1621804534.166546] 392 bytes from 88.80.187.84: icmp_seq=22 ttl=51 time=32.3 ms
[1621804535.168571] 392 bytes from 88.80.187.84: icmp_seq=23 ttl=51 time=32.8 ms
[1621804536.169660] 392 bytes from 88.80.187.84: icmp_seq=24 ttl=51 time=32.7 ms
[1621804537.171362] 392 bytes from 88.80.187.84: icmp_seq=25 ttl=51 time=32.5 ms
[1621804538.173293] 392 bytes from 88.80.187.84: icmp_seq=26 ttl=51 time=32.8 ms
[1621804539.174851] 392 bytes from 88.80.187.84: icmp_seq=27 ttl=51 time=32.3 ms
[1621804540.177139] 392 bytes from 88.80.187.84: icmp_seq=28 ttl=51 time=33.0 ms
[1621804541.177853] 392 bytes from 88.80.187.84: icmp_seq=29 ttl=51 time=32.5 ms
[1621804542.180116] 392 bytes from 88.80.187.84: icmp_seq=30 ttl=51 time=33.0 ms
[1621804543.180945] 392 bytes from 88.80.187.84: icmp_seq=31 ttl=51 time=32.6 ms
[1621804544.183675] 392 bytes from 88.80.187.84: icmp_seq=32 ttl=51 time=33.5 ms
[1621804545.184885] 392 bytes from 88.80.187.84: icmp_seq=33 ttl=51 time=33.0 ms
[1621804546.185666] 392 bytes from 88.80.187.84: icmp_seq=34 ttl=51 time=32.5 ms
[1621804547.187460] 392 bytes from 88.80.187.84: icmp_seq=35 ttl=51 time=32.6 ms
[1621804548.189905] 392 bytes from 88.80.187.84: icmp_seq=36 ttl=51 time=33.2 ms
[1621804549.190490] 392 bytes from 88.80.187.84: icmp_seq=37 ttl=51 time=32.3 ms
[1621804550.192682] 392 bytes from 88.80.187.84: icmp_seq=38 ttl=51 time=32.9 ms
[1621804551.193859] 392 bytes from 88.80.187.84: icmp_seq=39 ttl=51 time=32.9 ms
[1621804552.194620] 392 bytes from 88.80.187.84: icmp_seq=40 ttl=51 time=32.5 ms
[1621804553.196490] 392 bytes from 88.80.187.84: icmp_seq=41 ttl=51 time=32.6 ms
[1621804554.199173] 392 bytes from 88.80.187.84: icmp_seq=42 ttl=51 time=33.5 ms
[1621804555.200371] 392 bytes from 88.80.187.84: icmp_seq=43 ttl=51 time=32.9 ms
[1621804556.201028] 392 bytes from 88.80.187.84: icmp_seq=44 ttl=51 time=32.4 ms
[1621804557.202699] 392 bytes from 88.80.187.84: icmp_seq=45 ttl=51 time=32.4 ms
[1621804558.204670] 392 bytes from 88.80.187.84: icmp_seq=46 ttl=51 time=32.7 ms
[1621804559.206592] 392 bytes from 88.80.187.84: icmp_seq=47 ttl=51 time=32.7 ms
[1621804560.208658] 392 bytes from 88.80.187.84: icmp_seq=48 ttl=51 time=32.8 ms
[1621804561.209092] 392 bytes from 88.80.187.84: icmp_seq=49 ttl=51 time=32.2 ms
[1621804562.210538] 392 bytes from 88.80.187.84: icmp_seq=50 ttl=51 time=32.2 ms
[1621804563.212242] 392 bytes from 88.80.187.84: icmp_seq=51 ttl=51 time=32.5 ms
[1621804564.214552] 392 bytes from 88.80.187.84: icmp_seq=52 ttl=51 time=33.1 ms
[1621804565.215211] 392 bytes from 88.80.187.84: icmp_seq=53 ttl=51 time=32.4 ms
[1621804566.217188] 392 bytes from 88.80.187.84: icmp_seq=54 ttl=51 time=32.7 ms
[1621804567.218976] 392 bytes from 88.80.187.84: icmp_seq=55 ttl=51 time=32.6 ms
[1621804568.221020] 392 bytes from 88.80.187.84: icmp_seq=56 ttl=51 time=32.8 ms
[1621804569.222370] 392 bytes from 88.80.187.84: icmp_seq=57 ttl=51 time=33.1 ms
[1621804570.222806] 392 bytes from 88.80.187.84: icmp_seq=58 ttl=51 time=32.2 ms
[1621804571.224549] 392 bytes from 88.80.187.84: icmp_seq=59 ttl=51 time=32.5 ms
[1621804572.226327] 392 bytes from 88.80.187.84: icmp_seq=60 ttl=51 time=32.5 ms
[1621804573.228166] 392 bytes from 88.80.187.84: icmp_seq=61 ttl=51 time=32.6 ms
[1621804574.230436] 392 bytes from 88.80.187.84: icmp_seq=62 ttl=51 time=33.0 ms
[1621804575.230876] 392 bytes from 88.80.187.84: icmp_seq=63 ttl=51 time=32.2 ms
[1621804576.232825] 392 bytes from 88.80.187.84: icmp_seq=64 ttl=51 time=32.7 ms
[1621804577.234172] 392 bytes from 88.80.187.84: icmp_seq=65 ttl=51 time=32.1 ms
[1621804578.235604] 392 bytes from 88.80.187.84: icmp_seq=66 ttl=51 time=32.2 ms
[1621804579.236885] 392 bytes from 88.80.187.84: icmp_seq=67 ttl=51 time=32.0 ms
[1621804580.239603] 392 bytes from 88.80.187.84: icmp_seq=68 ttl=51 time=33.5 ms
[1621804581.239874] 392 bytes from 88.80.187.84: icmp_seq=69 ttl=51 time=32.0 ms
[1621804582.241621] 392 bytes from 88.80.187.84: icmp_seq=70 ttl=51 time=32.5 ms
[1621804583.243440] 392 bytes from 88.80.187.84: icmp_seq=71 ttl=51 time=32.6 ms
[1621804584.244671] 392 bytes from 88.80.187.84: icmp_seq=72 ttl=51 time=32.0 ms
[1621804585.246413] 392 bytes from 88.80.187.84: icmp_seq=73 ttl=51 time=32.5 ms
[1621804586.249035] 392 bytes from 88.80.187.84: icmp_seq=74 ttl=51 time=33.4 ms
[1621804587.249516] 392 bytes from 88.80.187.84: icmp_seq=75 ttl=51 time=32.2 ms
[1621804588.251181] 392 bytes from 88.80.187.84: icmp_seq=76 ttl=51 time=32.4 ms
[1621804589.252999] 392 bytes from 88.80.187.84: icmp_seq=77 ttl=51 time=32.6 ms
[1621804590.254975] 392 bytes from 88.80.187.84: icmp_seq=78 ttl=51 time=32.7 ms
[1621804591.256791] 392 bytes from 88.80.187.84: icmp_seq=79 ttl=51 time=32.6 ms
[1621804592.258781] 392 bytes from 88.80.187.84: icmp_seq=80 ttl=51 time=32.8 ms
[1621804593.260678] 392 bytes from 88.80.187.84: icmp_seq=81 ttl=51 time=32.6 ms
[1621804594.262460] 392 bytes from 88.80.187.84: icmp_seq=82 ttl=51 time=32.5 ms
[1621804595.263855] 392 bytes from 88.80.187.84: icmp_seq=83 ttl=51 time=32.2 ms
[1621804596.265322] 392 bytes from 88.80.187.84: icmp_seq=84 ttl=51 time=32.4 ms
[1621804597.267217] 392 bytes from 88.80.187.84: icmp_seq=85 ttl=51 time=32.7 ms
[1621804598.268955] 392 bytes from 88.80.187.84: icmp_seq=86 ttl=51 time=32.5 ms
[1621804599.271179] 392 bytes from 88.80.187.84: icmp_seq=87 ttl=51 time=33.0 ms
[1621804600.271949] 392 bytes from 88.80.187.84: icmp_seq=88 ttl=51 time=32.5 ms
[1621804601.273647] 392 bytes from 88.80.187.84: icmp_seq=89 ttl=51 time=32.4 ms
[1621804602.275805] 392 bytes from 88.80.187.84: icmp_seq=90 ttl=51 time=32.9 ms
[1621804603.277193] 392 bytes from 88.80.187.84: icmp_seq=91 ttl=51 time=33.2 ms
[1621804604.279218] 392 bytes from 88.80.187.84: icmp_seq=92 ttl=51 time=33.9 ms
[1621804605.280560] 392 bytes from 88.80.187.84: icmp_seq=93 ttl=51 time=33.1 ms
[1621804606.281207] 392 bytes from 88.80.187.84: icmp_seq=94 ttl=51 time=32.4 ms
[1621804607.283221] 392 bytes from 88.80.187.84: icmp_seq=95 ttl=51 time=32.8 ms
[1621804608.285221] 392 bytes from 88.80.187.84: icmp_seq=96 ttl=51 time=32.8 ms
[1621804609.286982] 392 bytes from 88.80.187.84: icmp_seq=97 ttl=51 time=32.5 ms
[1621804610.288730] 392 bytes from 88.80.187.84: icmp_seq=98 ttl=51 time=32.5 ms
[1621804611.290908] 392 bytes from 88.80.187.84: icmp_seq=99 ttl=51 time=33.0 ms
[1621804612.291492] 392 bytes from 88.80.187.84: icmp_seq=100 ttl=51 time=32.4 ms

--- 88.80.187.84 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99160ms
rtt min/avg/max/mdev = 31.991/32.677/33.869/0.366 ms
Ping size: 416
PING 88.80.187.84 (88.80.187.84) 416(444) bytes of data.
[1621804612.328759] 424 bytes from 88.80.187.84: icmp_seq=1 ttl=51 time=32.4 ms
[1621804613.330740] 424 bytes from 88.80.187.84: icmp_seq=2 ttl=51 time=32.7 ms
[1621804614.332322] 424 bytes from 88.80.187.84: icmp_seq=3 ttl=51 time=32.3 ms
[1621804615.334362] 424 bytes from 88.80.187.84: icmp_seq=4 ttl=51 time=32.8 ms
[1621804616.335783] 424 bytes from 88.80.187.84: icmp_seq=5 ttl=51 time=32.2 ms
[1621804617.337121] 424 bytes from 88.80.187.84: icmp_seq=6 ttl=51 time=32.1 ms
[1621804618.338847] 424 bytes from 88.80.187.84: icmp_seq=7 ttl=51 time=32.5 ms
[1621804619.341340] 424 bytes from 88.80.187.84: icmp_seq=8 ttl=51 time=33.3 ms
[1621804620.341974] 424 bytes from 88.80.187.84: icmp_seq=9 ttl=51 time=32.4 ms
[1621804621.343762] 424 bytes from 88.80.187.84: icmp_seq=10 ttl=51 time=32.5 ms
[1621804622.346076] 424 bytes from 88.80.187.84: icmp_seq=11 ttl=51 time=33.1 ms
[1621804623.346801] 424 bytes from 88.80.187.84: icmp_seq=12 ttl=51 time=32.5 ms
[1621804624.348188] 424 bytes from 88.80.187.84: icmp_seq=13 ttl=51 time=32.2 ms
[1621804625.349900] 424 bytes from 88.80.187.84: icmp_seq=14 ttl=51 time=32.5 ms
[1621804626.351247] 424 bytes from 88.80.187.84: icmp_seq=15 ttl=51 time=32.1 ms
[1621804627.352757] 424 bytes from 88.80.187.84: icmp_seq=16 ttl=51 time=32.3 ms
[1621804628.354331] 424 bytes from 88.80.187.84: icmp_seq=17 ttl=51 time=32.3 ms
[1621804629.356342] 424 bytes from 88.80.187.84: icmp_seq=18 ttl=51 time=32.8 ms
[1621804630.357772] 424 bytes from 88.80.187.84: icmp_seq=19 ttl=51 time=32.2 ms
[1621804631.359770] 424 bytes from 88.80.187.84: icmp_seq=20 ttl=51 time=32.8 ms
[1621804632.362031] 424 bytes from 88.80.187.84: icmp_seq=21 ttl=51 time=33.0 ms
[1621804633.362355] 424 bytes from 88.80.187.84: icmp_seq=22 ttl=51 time=32.1 ms
[1621804634.363795] 424 bytes from 88.80.187.84: icmp_seq=23 ttl=51 time=32.2 ms
[1621804635.365537] 424 bytes from 88.80.187.84: icmp_seq=24 ttl=51 time=32.5 ms
[1621804636.367777] 424 bytes from 88.80.187.84: icmp_seq=25 ttl=51 time=33.0 ms
[1621804637.368830] 424 bytes from 88.80.187.84: icmp_seq=26 ttl=51 time=32.8 ms
[1621804638.369840] 424 bytes from 88.80.187.84: icmp_seq=27 ttl=51 time=32.8 ms
[1621804639.371782] 424 bytes from 88.80.187.84: icmp_seq=28 ttl=51 time=32.7 ms
[1621804640.374248] 424 bytes from 88.80.187.84: icmp_seq=29 ttl=51 time=33.2 ms
[1621804641.375837] 424 bytes from 88.80.187.84: icmp_seq=30 ttl=51 time=33.3 ms
[1621804642.377428] 424 bytes from 88.80.187.84: icmp_seq=31 ttl=51 time=33.4 ms
[1621804643.377842] 424 bytes from 88.80.187.84: icmp_seq=32 ttl=51 time=32.2 ms
[1621804644.379841] 424 bytes from 88.80.187.84: icmp_seq=33 ttl=51 time=32.8 ms
[1621804645.382118] 424 bytes from 88.80.187.84: icmp_seq=34 ttl=51 time=33.0 ms
[1621804646.382946] 424 bytes from 88.80.187.84: icmp_seq=35 ttl=51 time=32.6 ms
[1621804647.384654] 424 bytes from 88.80.187.84: icmp_seq=36 ttl=51 time=32.4 ms
[1621804648.386501] 424 bytes from 88.80.187.84: icmp_seq=37 ttl=51 time=32.6 ms
[1621804649.388661] 424 bytes from 88.80.187.84: icmp_seq=38 ttl=51 time=32.9 ms
[1621804650.389170] 424 bytes from 88.80.187.84: icmp_seq=39 ttl=51 time=32.3 ms
[1621804651.391508] 424 bytes from 88.80.187.84: icmp_seq=40 ttl=51 time=33.1 ms
[1621804652.393163] 424 bytes from 88.80.187.84: icmp_seq=41 ttl=51 time=33.4 ms
[1621804653.394471] 424 bytes from 88.80.187.84: icmp_seq=42 ttl=51 time=33.1 ms
[1621804654.395600] 424 bytes from 88.80.187.84: icmp_seq=43 ttl=51 time=32.9 ms
[1621804655.396951] 424 bytes from 88.80.187.84: icmp_seq=44 ttl=51 time=33.0 ms
[1621804656.398183] 424 bytes from 88.80.187.84: icmp_seq=45 ttl=51 time=33.0 ms
[1621804657.398938] 424 bytes from 88.80.187.84: icmp_seq=46 ttl=51 time=32.5 ms
[1621804658.401134] 424 bytes from 88.80.187.84: icmp_seq=47 ttl=51 time=33.0 ms
[1621804659.402211] 424 bytes from 88.80.187.84: icmp_seq=48 ttl=51 time=32.8 ms
[1621804660.403399] 424 bytes from 88.80.187.84: icmp_seq=49 ttl=51 time=33.5 ms
[1621804661.404538] 424 bytes from 88.80.187.84: icmp_seq=50 ttl=51 time=32.9 ms
[1621804662.405249] 424 bytes from 88.80.187.84: icmp_seq=51 ttl=51 time=32.5 ms
[1621804663.406959] 424 bytes from 88.80.187.84: icmp_seq=52 ttl=51 time=32.4 ms
[1621804664.409462] 424 bytes from 88.80.187.84: icmp_seq=53 ttl=51 time=33.3 ms
[1621804665.411361] 424 bytes from 88.80.187.84: icmp_seq=54 ttl=51 time=33.6 ms
[1621804666.412195] 424 bytes from 88.80.187.84: icmp_seq=55 ttl=51 time=32.6 ms
[1621804667.414330] 424 bytes from 88.80.187.84: icmp_seq=56 ttl=51 time=32.9 ms
[1621804668.415862] 424 bytes from 88.80.187.84: icmp_seq=57 ttl=51 time=33.3 ms
[1621804669.416572] 424 bytes from 88.80.187.84: icmp_seq=58 ttl=51 time=32.5 ms
[1621804670.418582] 424 bytes from 88.80.187.84: icmp_seq=59 ttl=51 time=32.7 ms
[1621804671.421420] 424 bytes from 88.80.187.84: icmp_seq=60 ttl=51 time=33.6 ms
[1621804672.423567] 424 bytes from 88.80.187.84: icmp_seq=61 ttl=51 time=33.9 ms
[1621804673.423667] 424 bytes from 88.80.187.84: icmp_seq=62 ttl=51 time=32.8 ms
[1621804674.425032] 424 bytes from 88.80.187.84: icmp_seq=63 ttl=51 time=33.1 ms
[1621804675.426659] 424 bytes from 88.80.187.84: icmp_seq=64 ttl=51 time=33.4 ms
[1621804676.428043] 424 bytes from 88.80.187.84: icmp_seq=65 ttl=51 time=33.1 ms
[1621804677.428790] 424 bytes from 88.80.187.84: icmp_seq=66 ttl=51 time=32.5 ms
[1621804678.431109] 424 bytes from 88.80.187.84: icmp_seq=67 ttl=51 time=33.1 ms
[1621804679.431817] 424 bytes from 88.80.187.84: icmp_seq=68 ttl=51 time=32.5 ms
[1621804680.433832] 424 bytes from 88.80.187.84: icmp_seq=69 ttl=51 time=32.8 ms
[1621804681.436525] 424 bytes from 88.80.187.84: icmp_seq=70 ttl=51 time=33.4 ms
[1621804682.437567] 424 bytes from 88.80.187.84: icmp_seq=71 ttl=51 time=32.8 ms
[1621804683.438508] 424 bytes from 88.80.187.84: icmp_seq=72 ttl=51 time=32.7 ms
[1621804684.439712] 424 bytes from 88.80.187.84: icmp_seq=73 ttl=51 time=31.9 ms
[1621804685.441323] 424 bytes from 88.80.187.84: icmp_seq=74 ttl=51 time=32.4 ms
[1621804686.442895] 424 bytes from 88.80.187.84: icmp_seq=75 ttl=51 time=32.3 ms
[1621804687.444833] 424 bytes from 88.80.187.84: icmp_seq=76 ttl=51 time=32.7 ms
[1621804688.447085] 424 bytes from 88.80.187.84: icmp_seq=77 ttl=51 time=33.0 ms
[1621804689.447873] 424 bytes from 88.80.187.84: icmp_seq=78 ttl=51 time=32.5 ms
[1621804690.449659] 424 bytes from 88.80.187.84: icmp_seq=79 ttl=51 time=32.5 ms
[1621804691.451863] 424 bytes from 88.80.187.84: icmp_seq=80 ttl=51 time=32.9 ms
[1621804692.453425] 424 bytes from 88.80.187.84: icmp_seq=81 ttl=51 time=33.3 ms
[1621804693.454424] 424 bytes from 88.80.187.84: icmp_seq=82 ttl=51 time=32.8 ms
[1621804694.456538] 424 bytes from 88.80.187.84: icmp_seq=83 ttl=51 time=32.9 ms
[1621804695.457745] 424 bytes from 88.80.187.84: icmp_seq=84 ttl=51 time=32.9 ms
[1621804696.459455] 424 bytes from 88.80.187.84: icmp_seq=85 ttl=51 time=33.5 ms
[1621804697.460450] 424 bytes from 88.80.187.84: icmp_seq=86 ttl=51 time=32.8 ms
[1621804698.461943] 424 bytes from 88.80.187.84: icmp_seq=87 ttl=51 time=32.3 ms
[1621804699.463889] 424 bytes from 88.80.187.84: icmp_seq=88 ttl=51 time=32.7 ms
[1621804700.466153] 424 bytes from 88.80.187.84: icmp_seq=89 ttl=51 time=33.0 ms
[1621804701.466771] 424 bytes from 88.80.187.84: icmp_seq=90 ttl=51 time=32.4 ms
[1621804702.469154] 424 bytes from 88.80.187.84: icmp_seq=91 ttl=51 time=33.1 ms
[1621804703.470901] 424 bytes from 88.80.187.84: icmp_seq=92 ttl=51 time=33.5 ms
[1621804704.471450] 424 bytes from 88.80.187.84: icmp_seq=93 ttl=51 time=32.3 ms
[1621804705.473671] 424 bytes from 88.80.187.84: icmp_seq=94 ttl=51 time=33.0 ms
[1621804706.474710] 424 bytes from 88.80.187.84: icmp_seq=95 ttl=51 time=32.8 ms
[1621804707.476228] 424 bytes from 88.80.187.84: icmp_seq=96 ttl=51 time=32.3 ms
[1621804708.478495] 424 bytes from 88.80.187.84: icmp_seq=97 ttl=51 time=33.0 ms
[1621804709.479942] 424 bytes from 88.80.187.84: icmp_seq=98 ttl=51 time=33.2 ms
[1621804710.481824] 424 bytes from 88.80.187.84: icmp_seq=99 ttl=51 time=33.6 ms
[1621804711.482705] 424 bytes from 88.80.187.84: icmp_seq=100 ttl=51 time=32.6 ms

--- 88.80.187.84 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99155ms
rtt min/avg/max/mdev = 31.942/32.786/33.905/0.414 ms
Ping size: 448
PING 88.80.187.84 (88.80.187.84) 448(476) bytes of data.
[1621804711.519851] 456 bytes from 88.80.187.84: icmp_seq=1 ttl=51 time=32.4 ms
[1621804712.522216] 456 bytes from 88.80.187.84: icmp_seq=2 ttl=51 time=33.2 ms
[1621804713.522933] 456 bytes from 88.80.187.84: icmp_seq=3 ttl=51 time=32.5 ms
[1621804714.525168] 456 bytes from 88.80.187.84: icmp_seq=4 ttl=51 time=33.0 ms
[1621804715.526126] 456 bytes from 88.80.187.84: icmp_seq=5 ttl=51 time=32.7 ms
[1621804716.527932] 456 bytes from 88.80.187.84: icmp_seq=6 ttl=51 time=32.6 ms
[1621804717.529198] 456 bytes from 88.80.187.84: icmp_seq=7 ttl=51 time=32.0 ms
[1621804718.531686] 456 bytes from 88.80.187.84: icmp_seq=8 ttl=51 time=33.3 ms
[1621804719.531987] 456 bytes from 88.80.187.84: icmp_seq=9 ttl=51 time=32.1 ms
[1621804720.533505] 456 bytes from 88.80.187.84: icmp_seq=10 ttl=51 time=32.4 ms
[1621804721.535207] 456 bytes from 88.80.187.84: icmp_seq=11 ttl=51 time=32.5 ms
[1621804722.537105] 456 bytes from 88.80.187.84: icmp_seq=12 ttl=51 time=32.7 ms
[1621804723.539221] 456 bytes from 88.80.187.84: icmp_seq=13 ttl=51 time=32.9 ms
[1621804724.540047] 456 bytes from 88.80.187.84: icmp_seq=14 ttl=51 time=32.6 ms
[1621804725.542589] 456 bytes from 88.80.187.84: icmp_seq=15 ttl=51 time=33.3 ms
[1621804726.542945] 456 bytes from 88.80.187.84: icmp_seq=16 ttl=51 time=32.1 ms
[1621804727.545140] 456 bytes from 88.80.187.84: icmp_seq=17 ttl=51 time=33.0 ms
[1621804728.544845] 456 bytes from 88.80.187.84: icmp_seq=18 ttl=51 time=32.0 ms
[1621804729.546411] 456 bytes from 88.80.187.84: icmp_seq=19 ttl=51 time=32.3 ms
