Ping size: 0
PING 88.80.187.84 (88.80.187.84) 0(28) bytes of data.
[1621803402.002462] 8 bytes from 88.80.187.84: icmp_seq=80 ttl=51
[1621803403.004494] 8 bytes from 88.80.187.84: icmp_seq=81 ttl=51
[1621803404.005940] 8 bytes from 88.80.187.84: icmp_seq=82 ttl=51
[1621803405.007827] 8 bytes from 88.80.187.84: icmp_seq=83 ttl=51
[1621803406.009361] 8 bytes from 88.80.187.84: icmp_seq=84 ttl=51
[1621803407.011382] 8 bytes from 88.80.187.84: icmp_seq=85 ttl=51
[1621803408.011830] 8 bytes from 88.80.187.84: icmp_seq=86 ttl=51
[1621803409.013851] 8 bytes from 88.80.187.84: icmp_seq=87 ttl=51
[1621803410.015617] 8 bytes from 88.80.187.84: icmp_seq=88 ttl=51
[1621803411.017229] 8 bytes from 88.80.187.84: icmp_seq=89 ttl=51
[1621803412.018574] 8 bytes from 88.80.187.84: icmp_seq=90 ttl=51
[1621803413.020889] 8 bytes from 88.80.187.84: icmp_seq=91 ttl=51
[1621803414.021428] 8 bytes from 88.80.187.84: icmp_seq=92 ttl=51
[1621803415.023438] 8 bytes from 88.80.187.84: icmp_seq=93 ttl=51
[1621803416.024969] 8 bytes from 88.80.187.84: icmp_seq=94 ttl=51
[1621803417.027604] 8 bytes from 88.80.187.84: icmp_seq=95 ttl=51
[1621803418.028127] 8 bytes from 88.80.187.84: icmp_seq=96 ttl=51
[1621803419.029908] 8 bytes from 88.80.187.84: icmp_seq=97 ttl=51
[1621803420.031922] 8 bytes from 88.80.187.84: icmp_seq=98 ttl=51
[1621803421.033411] 8 bytes from 88.80.187.84: icmp_seq=99 ttl=51
[1621803422.035470] 8 bytes from 88.80.187.84: icmp_seq=100 ttl=51

--- 88.80.187.84 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99119ms

Ping size: 32
PING 88.80.187.84 (88.80.187.84) 32(60) bytes of data.
[1621803422.073725] 40 bytes from 88.80.187.84: icmp_seq=1 ttl=51 time=33.0 ms
[1621803423.075032] 40 bytes from 88.80.187.84: icmp_seq=2 ttl=51 time=33.0 ms
[1621803424.075521] 40 bytes from 88.80.187.84: icmp_seq=3 ttl=51 time=32.2 ms
